lockitver|DO NOT DELETE THIS LINE! 2896
trp_multiplayer_profile_troop_male|homme de troupe, profil multijoueur
trp_multiplayer_profile_troop_male_pl|hommes de troupe, profil multijoueur
trp_multiplayer_profile_troop_female|femmes de troupe, profil multijoueur
trp_multiplayer_profile_troop_female_pl|femmes de troupe, profil multijoueur
trp_temp_troop|Troupe temporaire
trp_temp_troop_pl|Troupes temporaires
trp_find_item_cheat|triche – recherche d'objet
trp_find_item_cheat_pl|triches - recherche d'objet
trp_random_town_sequence|Série aléatoire de bourgs
trp_random_town_sequence_pl|Séries aléatoires de bourgs
trp_tournament_participants|Paticipants du tournoi
trp_tournament_participants_pl|Participants du tournoi
trp_tutorial_maceman|Homme avec masse d'armes
trp_tutorial_maceman_pl|Hommes avec masse d'armes
trp_tutorial_archer|Archer
trp_tutorial_archer_pl|Archers
trp_tutorial_swordsman|Épéiste
trp_tutorial_swordsman_pl|Épéistes
trp_novice_fighter|Combattant novice
trp_novice_fighter_pl|Combattants novices
trp_regular_fighter|Combattant régulier
trp_regular_fighter_pl|Combattants réguliers
trp_veteran_fighter|Combattant vétéran
trp_veteran_fighter_pl|Combattants vétérans
trp_champion_fighter|Combattant aguerri
trp_champion_fighter_pl|Combattants aguerris
trp_arena_training_fighter_1|Combattant novice
trp_arena_training_fighter_1_pl|Combattants novices
trp_arena_training_fighter_2|Combattant novice
trp_arena_training_fighter_2_pl|Combattants novices
trp_arena_training_fighter_3|Combattant régulier
trp_arena_training_fighter_3_pl|Combattants réguliers 
trp_arena_training_fighter_4|Combattant régulier
trp_arena_training_fighter_4_pl|Combattants réguliers 
trp_arena_training_fighter_5|Combattant régulier
trp_arena_training_fighter_5_pl|Combattants réguliers 
trp_arena_training_fighter_6|Combattant vétéran
trp_arena_training_fighter_6_pl|Combattants vétérans
trp_arena_training_fighter_7|Combattant vétéran
trp_arena_training_fighter_7_pl|Combattants vétérans
trp_arena_training_fighter_8|Combattant vétéran
trp_arena_training_fighter_8_pl|Combattants vétérans
trp_arena_training_fighter_9|Combattant aguerri
trp_arena_training_fighter_9_pl|Combattants aguerris
trp_arena_training_fighter_10|Combattant aguerri
trp_arena_training_fighter_10_pl|Combattants aguerris
trp_cattle|Bétail
trp_cattle_pl|Bétail
trp_farmer|Fermier
trp_farmer_pl|Fermiers
trp_townsman|Habitant du bourg
trp_townsman_pl|Habitants du bourg
trp_watchman|Guetteur
trp_watchman_pl|Guetteurs
trp_caravan_guard|Garde de caravane
trp_caravan_guard_pl|Gardes de caravane
trp_mercenary_swordsman|Épéiste mercenaire
trp_mercenary_swordsman_pl|Épéistes mercenaires
trp_hired_blade|Épéiste sous contrat
trp_hired_blade_pl|Épéistes sous contrat
trp_mercenary_crossbowman|Arbalétrier mercenaire
trp_mercenary_crossbowman_pl|Arbalétriers mercenaires
trp_mercenary_horseman|Cavalier mercenaire
trp_mercenary_horseman_pl|Cavaliers mercenaires
trp_mercenary_cavalry|Cavalerie mercenaire
trp_mercenary_cavalry_pl|Cavaleries mercenaires
trp_mercenaries_end|Objectif des mercenaires
trp_mercenaries_end_pl|Objectifs de mercenaires 
trp_swadian_recruit|Recrue swadienne
trp_swadian_recruit_pl|Recrues swadiennes
trp_swadian_militia|Milice swadienne
trp_swadian_militia_pl|Milices swadiennes
trp_swadian_footman|Fantassin swadien
trp_swadian_footman_pl|Fantassins swadiens
trp_swadian_infantry|Infantrie swadienne
trp_swadian_infantry_pl|Infantries swadiennes
trp_swadian_sergeant|Sergent swadien 
trp_swadian_sergeant_pl|Sergents swadiens
trp_swadian_skirmisher|Tirailleur swadien
trp_swadian_skirmisher_pl|Tirailleurs swadiens
trp_swadian_crossbowman|Arbalétrier swadien
trp_swadian_crossbowman_pl|Arbalétriers swadiens
trp_swadian_sharpshooter|Tireur d'élite swadien
trp_swadian_sharpshooter_pl|Tireurs d'élite swadiens
trp_swadian_man_at_arms|Homme d'armes swadien
trp_swadian_man_at_arms_pl|Hommes d'armes swadiens
trp_swadian_knight|Chevalier swadien
trp_swadian_knight_pl|Chevaliers swadiens
trp_swadian_messenger|Messager swadien
trp_swadian_messenger_pl|Messagers swadiens
trp_swadian_deserter|Déserteur swadien
trp_swadian_deserter_pl|Déserteurs swadiens
trp_swadian_prison_guard|Geôlier
trp_swadian_prison_guard_pl|Geôliers
trp_swadian_castle_guard|Garde du château
trp_swadian_castle_guard_pl|Gardes du château
trp_vaegir_recruit|Recrue vaegir
trp_vaegir_recruit_pl|Recrues vaegirs
trp_vaegir_footman|Fantassin vaegir
trp_vaegir_footman_pl|Fantassins vaegirs
trp_vaegir_skirmisher|Tirailleur vaegir
trp_vaegir_skirmisher_pl|Tirailleurs vaegirs
trp_vaegir_archer|Archer vaegir
trp_vaegir_archer_pl|Archers vaegirs
trp_vaegir_marksman|Tireur d'élite vaegir
trp_vaegir_marksman_pl|Tireurs d'élite vaegirs
trp_vaegir_veteran|Vétéran vaegir
trp_vaegir_veteran_pl|Vétérans vaegirs
trp_vaegir_infantry|Infanterie vaegir
trp_vaegir_infantry_pl|Infanteries vaegirs
trp_vaegir_guard|Garde vaegir 
trp_vaegir_guard_pl|Gardes vaegirs
trp_vaegir_horseman|Cavalier vaegir
